3.843871944606963575e-02	3.965964410487654579e-02
4.473791240126889779e-02	4.236707152190576781e-02
5.149092050626824513e-02	4.498929614146726652e-02
5.869101221572653460e-02	4.752256588251902586e-02
6.633101032164268052e-02	4.996313899344882042e-02
7.440329910775267397e-02	5.230731946526253479e-02
8.289983194104122433e-02	5.455149210501666901e-02
9.181213929280046537e-02	5.669215688892665500e-02
1.011313371812403439e-01	5.872596222841978270e-02
1.108481360272350336e-01	6.064973680079156076e-02
1.209528499143772695e-01	6.246051961876891712e-02
1.314354062441105420e-01	6.415558803982637781e-02
1.422853557763143484e-01	6.573248344613694116e-02
1.534918830453341210e-01	6.718903435911030564e-02
1.650438171410724131e-01	6.852337678808576027e-02
1.769296428443951075e-01	6.973397165038192069e-02
1.891375121057523589e-01	7.081961913900755579e-02
2.016552558555719799e-01	7.177946995434757171e-02
2.144703961346525745e-01	7.261303335648160162e-02
2.275701585324647613e-01	7.332018203490237029e-02
2.409414849209612353e-01	7.390115383171465269e-02
2.545710464712031551e-01	7.435655039237644426e-02
2.684452569398261268e-01	7.468733285417150647e-02
2.825502862121034298e-01	7.489481471640144217e-02
2.968720740881055087e-01	7.498065206730834820e-02
3.113963442982120022e-01	7.494683137059801603e-02
3.261086187340087594e-01	7.479565503878156385e-02
3.409942318803809158e-01	7.452972504110810803e-02
3.560383454344167586e-01	7.415192481039645234e-02
3.712259630965517032e-01	7.366539972542847370e-02
3.865419455192049547e-01	7.307353645364485228e-02
4.019710253980109393e-01	7.237994144265390284e-02
4.174978226906003731e-01	7.158841884856091686e-02
4.331068599477604364e-01	7.070294818444940177e-02
4.487825777416932782e-01	6.972766196365438873e-02
4.645093501759920418e-01	6.866682359998574348e-02
4.802715004618736128e-01	6.752480581105656243e-02
4.960533165451433968e-01	6.630606975167387118e-02
5.118390667683120343e-01	6.501514508222576427e-02
5.276130155522540388e-01	6.365661115255348557e-02
5.433594390817754194e-01	6.223507945536804753e-02
5.590626409794540175e-01	6.075517747532004770e-02
5.747069679521303875e-01	5.922153403083338374e-02
5.902768253944511434e-01	5.763876617625471321e-02
6.057566929339094353e-01	5.601146770223963678e-02
6.211311399018916157e-01	5.434419924306745781e-02
6.363848407153015474e-01	5.264147997121813860e-02
6.515025901534363673e-01	5.090778083250057512e-02
6.664693185148805599e-01	4.914751924969735369e-02
6.812701066393122007e-01	4.736505519948095572e-02
6.958902007792464595e-01	4.556468854657837186e-02
7.103150273068919995e-01	4.375065750113078106e-02
7.245302072414601113e-01	4.192713805013398992e-02
7.385215705824448307e-01	4.009824420195867017e-02
7.522751704345886914e-01	3.826802887436245304e-02
7.657772969104506000e-01	3.644048525119936849e-02
7.790144907967200272e-01	3.461954843122384134e-02
7.919735569706531919e-01	3.280909719393618890e-02
8.046415775532583803e-01	3.101295571223494640e-02
8.170059247861193308e-01	2.923489504957202390e-02
8.290542736190187334e-01	2.747863429015912073e-02
8.407746139958167664e-01	2.574784116429412739e-02
8.521552628263360241e-01	2.404613204678159727e-02
8.631848756323197147e-01	2.237707122437961049e-02
8.738524578558545253e-01	2.074416934787117958e-02
8.841473758189852816e-01	1.915088100533121271e-02
8.940593673235961436e-01	1.760060137506556238e-02
9.035785518809926753e-01	1.609666193909744039e-02
9.126954405609881693e-01	1.464232526058008473e-02
9.214009454506753016e-01	1.324077885069124827e-02
9.296863887134559912e-01	1.189512817202353391e-02
9.375435112392968007e-01	1.060838884583726292e-02
9.449644808775901073e-01	9.383478149424589673e-03
9.519419002444118316e-01	8.223205906919186375e-03
9.584688140963943948e-01	7.130264891870452364e-03
9.645387162638652256e-01	6.107220872529614542e-03
9.701455561363377944e-01	5.156502440861445748e-03
9.752837446938913413e-01	4.280390773613920556e-03
9.799481600784284430e-01	3.481009478257210497e-03
9.841341526992536393e-01	2.760314678158876101e-03
9.878375498678868549e-01	2.120085489990511125e-03
9.910546599574902027e-01	1.561915042103689767e-03
9.937822760827619284e-01	1.087202175558371663e-03
9.960176792966288772e-01	6.971439597787343562e-04
9.977586413005530286e-01	3.927291426406353874e-04
9.990034266657467077e-01	1.747326403901461377e-04
9.997507945630869086e-01	4.371115643052591741e-05
1.000000000000000000e+00	-1.665334536937734749e-17
